세그먼트,시점,변수,효과%,단조성,형태
아파트 월세,2022Q4,병원(개),42.57052580610715,0.9878787878787878,단조증가
아파트 월세,2022Q4,지하철역까지 거리(m),-37.37815328239692,-0.9878787878787878,단조감소
아파트 월세,2022Q4,건축년도,66.27818869484128,0.9636363636363635,단조증가
아파트 월세,2022Q4,전용면적(㎡),127.65841744054218,0.9878787878787878,단조증가
연립 매매,2019Q1,편의점(개),-3.839612272627202,-0.5714312110592608,U자
연립 매매,2019Q1,병원(개),7.229542731868353,0.7939393939393938,U자
연립 매매,2019Q1,지하철역까지 거리(m),-8.426950084683066,-0.8333333333333333,역U자
연립 매매,2019Q1,건축년도,46.33566757041449,0.8303030303030302,U자
연립 매매,2019Q1,전용면적(㎡),-24.155367239876828,-0.9999999999999999,단조감소
연립 매매,2020Q2,편의점(개),-5.589229344908713,-0.5878787878787878,U자
연립 매매,2020Q2,병원(개),-3.784858214812052,-0.309090909090909,U자
연립 매매,2020Q2,지하철역까지 거리(m),-10.540282766016803,-0.8666666666666665,역U자
연립 매매,2020Q2,건축년도,45.89475322588854,0.7333333333333332,U자
연립 매매,2020Q2,전용면적(㎡),-27.227683683735414,-0.9999999999999999,단조감소
연립 매매,2021Q4,편의점(개),-2.498406556496216,-0.9636363636363635,단조감소
연립 매매,2021Q4,병원(개),-2.240019198948824,-0.06666666666666665,U자
연립 매매,2021Q4,지하철역까지 거리(m),-14.596681057996449,-0.8303030303030302,역U자
연립 매매,2021Q4,건축년도,50.82590197740275,0.8166666666666667,U자
연립 매매,2021Q4,전용면적(㎡),-25.21021097581994,-0.9636363636363635,단조감소
연립 매매,2022Q4,편의점(개),0.32829727993928637,-0.35757575757575755,역U자
연립 매매,2022Q4,병원(개),-0.8692875310457338,0.34545454545454546,U자
연립 매매,2022Q4,지하철역까지 거리(m),-9.725490435489611,-0.8666666666666665,역U자
연립 매매,2022Q4,건축년도,60.48679929255785,0.8571428571428572,U자
연립 매매,2022Q4,전용면적(㎡),-41.96851019167621,-0.9999999999999999,단조감소
연립 전세,2019Q1,편의점(개),3.299454475119802,0.9636363636363635,단조증가
연립 전세,2019Q1,병원(개),5.279054270353976,0.9757575757575757,단조증가
연립 전세,2019Q1,지하철역까지 거리(m),-11.658986927560617,-0.9151515151515152,단조감소
연립 전세,2019Q1,건축년도,73.87304323371839,0.9999999999999999,단조증가
연립 전세,2019Q1,전용면적(㎡),-49.66235622552385,-0.9878787878787878,단조감소
연립 전세,2020Q2,편의점(개),5.953447613200092,0.9272727272727272,단조증가
연립 전세,2020Q2,병원(개),9.424794604526161,0.8909090909090909,비단조
연립 전세,2020Q2,지하철역까지 거리(m),-6.721375776577461,-0.7939393939393938,역U자
연립 전세,2020Q2,건축년도,88.22685942399899,0.9999999999999999,단조증가
연립 전세,2020Q2,전용면적(㎡),-44.24224954279852,-0.9878787878787878,단조감소
연립 전세,2021Q4,편의점(개),3.124282333221174,0.9393939393939393,단조증가
연립 전세,2021Q4,병원(개),5.520325122170141,0.9393939393939393,단조증가
연립 전세,2021Q4,지하철역까지 거리(m),-9.418505971005258,-0.8181818181818182,비단조
연립 전세,2021Q4,건축년도,98.55650713058299,0.9999999999999999,단조증가
연립 전세,2021Q4,전용면적(㎡),-41.748906075878025,-0.9999999999999999,단조감소
연립 전세,2022Q4,편의점(개),4.877936413940525,0.9515151515151514,단조증가
연립 전세,2022Q4,병원(개),5.480266844511395,0.9515151515151514,단조증가
연립 전세,2022Q4,지하철역까지 거리(m),-7.3029800326741,-0.6727272727272726,역U자
연립 전세,2022Q4,건축년도,83.30110942354459,0.9999999999999999,단조증가
연립 전세,2022Q4,전용면적(㎡),-40.858256369826904,-0.9878787878787878,단조감소
연립 월세,2019Q1,편의점(개),9.27616209268619,0.709090909090909,역U자
연립 월세,2019Q1,병원(개),20.75342387688196,0.9515151515151514,단조증가
연립 월세,2019Q1,지하철역까지 거리(m),-24.202844236924847,-0.34545454545454546,역U자
연립 월세,2019Q1,건축년도,51.60800438657503,0.9333333333333332,단조증가
연립 월세,2019Q1,전용면적(㎡),-29.277379007811334,-0.7939393939393938,역U자
연립 월세,2020Q2,편의점(개),5.741178246557648,0.8666666666666665,역U자
연립 월세,2020Q2,병원(개),37.05061720788411,0.9515151515151514,단조증가
연립 월세,2020Q2,지하철역까지 거리(m),-19.10922345665551,-0.6969696969696969,역U자
연립 월세,2020Q2,건축년도,25.68125123969591,0.6606060606060605,역U자
연립 월세,2020Q2,전용면적(㎡),-28.294006018054247,-0.09090909090909088,역U자
연립 월세,2021Q4,편의점(개),5.910534257323925,-0.2121212121212121,역U자
연립 월세,2021Q4,병원(개),25.816307232178907,0.9878787878787878,단조증가
연립 월세,2021Q4,지하철역까지 거리(m),-34.01893736665072,-0.8303030303030302,역U자
연립 월세,2021Q4,건축년도,24.3745834964275,0.6606060606060605,역U자
